laptop_nbr,item_id,name,brand,price,rating,review
36,511872565,"Dell Latitude 3410 14"" No Notebook - 1920 x 1280 - Core i5 i5-10310U 10th Gen 1.7GHz Hexa-core (6 Core) - 8GB RAM - 256GB SSD",No Brand,52200,,
37,511901388,MACBOOK AIR M4  10 CORE CPU 10 CORE GPU 16GB MEMORY 512GGB STORAGE,Apple,198000,,
38,509027735,"Laptop Dell Latitude 5300 , Laptop 13.3"" Intel Core i5-8365U 1.6GHz up to 4.1GHz, 8GB DDR4 RAM, 256GB SSD",No Brand,44500,,
39,511449056,Lenovo IP Slim 3 Core i3- 1305U 13th Gen | 8 GB RAM | 512 GB SSD | 14″ FHD | Win 11,No Brand,59990,,
40,481711952,"Dell Wyse 5470 Intel Celeron , 8GB RAM 256GB SSD, 14.0"" FHD. BLACK COLOR",No Brand,48000,,
41,512717735,"acer Aspire Lite, 13th Gen Intel Core i3-1305U, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11 Home,",No Brand,37000,,
42,412102944,"ASUS Vivobook S 15 - (S5507QA) Snapdragon® X Elite X1E 78 100 Processor | 16 GB RAM | 1 TB Gen 4 SSD |15.6"" 3K OLED | Backlit Keyboard | Type C | Backpack | 2 Year Int'l Warranty | 1 year Perfect Warranty - Nagmani International",ASUS,165900,,
43,511134549,Lenovo ThinkPad T14 Gen5 Ultra 5-125U| 16GB RAM | 512GB SSD|14″ WUXGA IPS| Win11 Pro | 1 Years Warranty,No Brand,178990,,
44,128951880,"Dell Vostro 3520 | Core™ i5-1235U | 8GB | 256GB | 15.6"" FHD | UBUNTU",No Brand,63500,,
45,510089694,"Acer Aspire 3 Slimbook (Intel Celeron N4500 Processor | 8GB RAM | 256GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)",Acer,44500,,
46,308897412,"Dell Vostro 3530 Laptop i5 13th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",Dell,76499,,
47,481768053,"HP Notebook 15 | Intel Core i5 13th Gen | 8GB RAM 512GB SSD | 15.6"" Full HD Display | Backlit | Silver | Win11",No Brand,91999,,
48,510936632,Acer Aspire Lite 15 Laptop Intel Core i7 13620H 16GB RAM 512GB SSD 15.6 inch FHD,Acer,94050,,
49,510327418,Acer Aspire Go AMD Ryzen 5-7520U | 8GB RAM | 512GB SSD |15.6″ FHD IPS Touch Screen| Win11 | 1 Years Warranty,No Brand,70990,,
50,129508715,HP 240 G9 Notebook With I7 Processor 8 GB RAM 512 GB SSD 14 Inch 12th Gen,No Brand,84999,,
51,509171667,Acer Aspire Lite 14 { Intel Core i3 N355 | 8GB RAM | 512GB SSD | Intel UHD Graphics },Acer,70000,,
52,505148472,"ASUS Vivobook 14 X1405VA Laptop - 13th Gen Intel Core i5-13420H Processor | 8GB DDR4 RAM | 512GB NVMe SSD | 14"" WUXGA IPS Display | Windows 11 Home | Backlit | Fingerprint | Free Bag & Mouse | 2-Year International Warranty + 1-Year Perfect Insurance",No Brand,90102,,
53,510101032,"Acer Aspire 3 Slimbook (AMD Ryzen 7 7730U Processor | 16GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | AMD Radeon Graphics | 1 Year Warranty)",Acer,82000,,
54,481726505,"Dell inspiron 14 5440 i5 13th Gen | 8GB RAM | 512GB SSD | 14.2"" 120Hz FHD | Black",No Brand,89000,,
55,129241266,"Dell Inspiron 15 3530 - i5 1335U | 8GB RAM | 512GB SSD | 5.6"" FHD TUCH Display | 1 Year Warranty",No Brand,77000,,
56,156012778,"Lenovo IdeaPad Slim 5 | Core Ultra 5 125H | 16GB RAM | 512GB SSD | 14"" WUXGA OLED | Backlit Keyboard | 1 Year Warranty - Nagmani International",Lenovo,145900,,
57,499667983,"Asus VivoBook X1404VA-I512256 Core™ i5-1334U 256GB SSD 12GB 14"" (1920x1080) WIN11 Laptop",No Brand,78990,,
58,503280683,"Asus Vivobook Core 5 14th generation with 1 year warranty Perfect for work, study, and everyday performance. • Intel Core i5-120U • 8GB RAM • 512GB SSD • 15.6” FHD Display • Sleek Silver Finish A powerful machine designed for modern life.",No Brand,77000,,
59,506587941,HP 15-FD0150WM | INTEL CORE 5 PROCESSOR | 16 GB RAM | 512 GB SSD STORAGE | 15.6″ INCH TOUCH DISPLAY | SILVER,,80999,,
60,501280461,"Acer Aspire Lite | Intel Core i5-1334U 13th Gen | 16GB DDR5 RAM | 512GB SSD | 14"" WUXGA IPS Display | Light Silver",No Brand,85139,,
61,510203523,HP NoteBook 15 (INTEL CORE™ 5 120U Processor | 16 GB RAM | 512 GB SSD Storage | 15.6″ Inch FHD Touch Display | Intel Integrated Graphics | Backlit),,86000,,
62,511145414,Lenovo ThinkPad E14 Core 5-210H 15th Gen | 16GB RAM | 512GB SSD | 14″ FHD(1920×1200) | Backlit keyboard | Win11 Pro | 1 Years Warranty,No Brand,152990,,
63,512621927,"Acer TravelLite AMD Ryzen 5 7430U - (16 GB/512 GB SSD/Windows 11 Home) TL04-41M Notebook (14 Inch, Black, 1.34 kg)",No Brand,75999,,
64,402522919,"ASUS Vivobook S14 - S3407VA | 14.0-inch, WUXGA | Intel Core i7 - 13620H | 16GB RAM | 1TB Gen 4 SSD | Windows 11 | Cool Silver | Backpack | Mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International",ASUS,145900,,
65,437352098,"Acer Aspire 14 Core 5 120U 14th Gen / 8 GB DDR5 RAM/ 512GB SSD/14"" WUXGA IPS/ Win 11",No Brand,83150,,
66,500287355,"ASUS Vivobook 15X OLED X1503ZA - i3 1220P | 12th Gen | 8 GB RAM | 256 GB SSD | 15.6"" OLED | Fingerprint | Windows 11 | Quiet Blue | Backlit KB | Backpack | Mouse | 2 Year Int'l Warranty | 1 year Perfect Warranty - Nagmani International",ASUS,78000,,
67,115314712,"MSI Laptop Modern 15 A11MU (11th Gen i5 -1155G7 | 8 GB RAM | 512GB SSD | 15.6"" FHD 100% sRGB | Backlit Keyboard | USB-C | Win 10 Home)",,71000,,
68,510196878,HP OMNIBOOK FLIP 5 (2-IN-1) – Intel Core 5 120U – 8GB LPDDR5 RAM – 512GB NVMe Gen 4 SSD – Integrated Intel Graphics – 14″ 2K (1920 x 1200) Touch Display – Backlight Keyboard – Windows 11 Home – Silver,,93000,,
69,510094353,"Acer Aspire 15 2024 (Ryzen 5 8640HS, 16GB, 512GB, 15.6'' FHD)",Acer,92000,,
70,500066593,Asus Vivobook X1504V Core i5 1334U 13th Gen | 16GB RAM | 512GB SSD | 15.6 ” FHD | Win 11 | 1 Years Warranty,No Brand,82990,,
71,374215735,Apple | MacBook Air (13-inch) M4 - 16GB/256GB - EvoStore,Apple,152500,5.0,1
72,509831802,"Lenovo LOQ Gaming Laptop 2025 - (15.6"" FHD 144Hz Display | Intel i5-12450HX | 8 GB RAM | 512GB SSD | RTX 2050 4GB | Windows 11 | Backlit KB | 2 Year Warranty)",No Brand,125000,,
73,168905943,"ASUS Vivobook Go E1404FA - Ryzen 5 7520U | 14"" FHD Display | 8GB RAM| 512GB SSD | Fingerprint | Backlit | Backpack | Mouse | Win11 | Cool Silver | Grey Green | 2 Yrs Int'l Warranty - NAGMANI INTERNATIONAL",ASUS,75900,,
74,110589718,"DELL VOSTRO 3510 / I5-1135G7 / 8GB / 256GB SSD/ 15.6"" FHD/BEST BUSINESS LAPTOP FOR ALL / 8GB RAM LAPTOP 256GB SSD LAPTOP/ LAPTOPS / FOR OFFICE / HOME / STUDENTS",No Brand,81999,,
75,509047386,"Dell Inspiron 15 3530 - i5 1335U | 8GB RAM | 512GB SSD | 15.6"" FHD Display | 1 Year Warranty",No Brand,92000,,
76,511345998,Asus Vivobook X1404VA Core i3-1315U 13th Gen | 8 GB RAM | 256GB SSD | 14″ FHD | Win 11 | 1 Years Warranty,No Brand,57990,,
77,479769034,"Lenovo LOQ - AX9E Gaming Laptop 2025 - (Intel Core i7 12650HX | RTX 4050 | Windows 11 | 16GB RAM | 512 SSD | 15.6"" FHD (1920x1080) 144Hz display | 2 Year warranty) - Nagmani International",Lenovo,170900,,
78,499671809,"Asus ROG STRIX G16 G615JMR-AS74 GAMING Core™ i7-14650HX 1TB SSD 16GB 16"" (1920x1200) 3ms 165Hz WIN11 NVIDIA® RTX 5060 8192MB Backlit Keyboard.Laptop",No Brand,299000,,
79,127390207,"Dell Latitude 3510 (15""/10th generation i5 processor / 4GB RAM / 1TB SATA)",No Brand,76000,,
80,506905262,"Acer Aspire Go 15 Laptop 15.3"" WUXGA(1920 x 1200) IPS Display, Intel i5-1334U, 8GB DDR5 RAM, 256GB PCIe SSD, Windows 11 Home Wi-Fi 6, Bluetooth Steel Gray",Acer,72999,,
81,512751027,"Lenovo IdeaPad Slim 3, AMD Ryzen 5 5625U, 8GB RAM, 512GB SSD, FHD 15.6""(39.6cm), Windows 11, Office Home 2024, Grey, 1.6Kg, 82XM011AIN,",No Brand,42000,,
82,512715742,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free",No Brand,72000,,
83,167919296,"MSI Modern 14 F13MG Laptop (13th Gen Intel Core i5 | 16GB RAM | 512GB SSD | 14"" FHD IPS | Wi-Fi 6E | Backlit Keyboard | USB-C | 1.5KG)",,80000,,
84,511640882,Acer Aspire Lite Ryzen 5-7430U | 16 GB RAM | 512GB SSD | 15.6 “FHD | Win 11 | 1 Years Warranty,No Brand,80990,,
85,115317236,MSI Modern 15 A11MU | 11th Gen i7 -1195G7| 8 GB RAM | 512GB SSD | Intel Iris Xe | Win 10,,79500,,
86,510318805,Lenovo LOQ 15IAX9E Core i5-12450HX | 8 GB RAM | 512GB SSD |15.6″ FHD 144Hz | RTX 4050 6GB | Win 11 | 1 Years Warranty,No Brand,114990,,
87,103151188,"Dell 5406 i5 11th / 8GB / 256GB SSD / 14"" Touch 360",Dell,110000,,
88,510215217,"HP Victus 15 (Ryzen 5 8645HS | 16GB RAM | 512GB SSD | Nvidia GeForce RTX 3050 6GB GDDR6 Graphics | 15.6""FHD IPS 144Hz Display | Windows 11 Gaming Laptop | Blue | 1 Year Warranty)",,117000,,
89,164156661,Dell Latitude 14 5440 Intel Core i7 13th Gen 1365U – 16GB DDR4 RAM – 1TB NVMe SSD – Intel Integrated Graphics – 14″ FHD Touchscreen Display – Backlit Keyboard,No Brand,139999,,
90,511959322,"HP EliteBook 1030 G8 i5 11th Gen 13.3 FULL HD x360 Multi-Touch 2-in-1, 16GB RAM, 512GB SSD,Windows 101Pro",,65000,,
91,510091330,"Acer Aspire Lite 14  Intel® Core i5-1334U | 16GB RAM | 512GB SSD | 13th Gen | Intel Iris Xe Graphics | 14"" WUXGA IPS Display | Windows 11 Laptop | Light Silver | 2 Years Warranty Acer Aspire Lite 14 (AL14-52M-54V4) Intel® Core i5-1334U | 8",Acer,85000,,
92,508459167,HP ELITEBOOK 8 GB RAM /256 GB SSD SILVER LAPTOP,No Brand,80000,,
93,503793270,Dell Pro 14 PC14250 | Core 5 120U | 8GB | 512GB SSD | FHD+ | Non-Backlit | UBT,No Brand,90300,,
94,507952931,Dell Pro 14 PC14250 | Core 5 120U | 8GB | 512GB SSD | FHD+ | Backlit | UBT,No Brand,92400,,
95,499681545,"Acer Aspire Go AG15-51P-510U Core™ i5-1334U 256GB SSD 8GB 15.3"" (1920x1200) WIN11 Laptop",No Brand,74990,,
96,512702988,"acer Aspire Go 14,14th Gen, Intel Core Ultra 5 125H, 16GB DDR5, 512GB Win 11, MS Office,",No Brand,58000,,
97,510318798,Asus VivoBook X1404VA Core i7-1355U 13th Gen| 12GB RAM |512GB SSD |14″ FHD(1920×1080) | Win11 |1 Years Warranty,No Brand,96990,,
98,511446108,Dell Inspiron i3530 Core i5 8GB RAM 512GB SSD 15.6 Inch Laptop,Dell,77220,,
99,499257452,"Lenovo All-in-One ThinkCentre Neo 50a 24 Gen 5 – Intel Core i3-1315U, 8GB RAM, 512GB SSD, WiFi + Bluetooth, 5.0 MP Camera, 24’’ Display, Wireless Keyboard & Mouse, Free Dos, Wireless Mobile Charger (inbuilt in the Base),  Nagmani International",Lenovo,91900,,
100,110305751,"HP ProBook Intel Core i5 6th Gen 256GB SSD 8GB RAM 14"" Intel HD Laptop",No Brand,75900,,
101,511160364,Acer Nitro V15 i9 13900H RTX 4060 16GB RAM 512GB SSD 15.6 FHD 165Hz,Acer,170280,,
102,459032985,ASUS ZENBOOK 14 OLED - UX3405CA - 15 Gen Intel Core Ultra 5 225H | 16 GB RAM | 512GB SSD PCIe Gen 4 | 14 inch WUXGA Touchscreen | Genuine Win 11 | Ponder Blue | NUMPAD | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International,ASUS,168900,,
103,511353936,Lenovo Ideapad 1 N4500 | 4GB RAM | 256GB SSD | 14″ HD | Win 11 | 1 Years Warranty,No Brand,41990,,
104,272817388,"Lenovo ThinkBook 14 G7- Ryzen 5 7535HS, 14'' WUXGA (1920x1200), 16GB, 512GB SSD, Win 11 Home, Backlit KB, 1 Year Warranty - NAGMANI INTERNATIONAL",Lenovo,129900,,
105,490650593,"Asus Vivobook X1504VA i5 1334U 13th Gen | 16GB RAM | 512GB SSD | 15.6"" FHD | SILVER",No Brand,88999,,
106,481779014,Acer Vero 16 | Intel Core Ultra 5 125U Processor | 8GB RAM | 512GB SSD | Intel Integrated Graphics | 16-inch FHD (1920 x 1200) Display,No Brand,90387,,
107,511326274,ASUS Vivobook 14 X1404VA Core i7 1355U 12GB RAM 512GB SSD 14 inch FHD Laptop,ASUS,91500,,
108,510032311,"Dell Wyse 5470 – Efficient Thin Client Performance (9th Gen Intel Celeron N4100 Processor | 4GB RAM | 256GB SSD Storage | 14"" (FHD, 1920 x 1080) IPS Display | Intel UHD 600 Graphics Card | Backlit Keyboard | Wi-Fi 5 & BT 5.0 | TPM 2.0 | 1 Year Warranty)",Dell,45000,,
109,511940229,"ASUS Vivobook X1504V – Intel Core i5‑120U, 8GB DDR4 RAM, 512GB Gen4 SSD, Intel Graphics, 15.6"" FHD Display (1 Slot Expandable)",ASUS,71999,,
110,499681509,"HP OmniBook X Flip 14-FM0023 Core™ 7 256V 1TB SSD 16GB 14"" (1920x1200) TOUCHSCREEN WIN11 ATMOSPHERIC BLUE Backlit Keyboard Laptop",No Brand,153990,,
111,511347976,Acer Aspire Go 15 Core 3-N355 | 8GB RAM | 256GB SSD | 15.6 ” FHD | Win 11 Home | 1Years Warranty,No Brand,58990,,
112,129906928,"Dell XPS 13 Plus Core i7 12th Gen/ 32 GB DDR 5 RAM/ 1TB SSD/ 13.4"" FHD/ Backlit Keyboard/ Win 11",No Brand,217790,,
113,511944059,"ASUS VIVOBOOK X1404V I3 1315U DDR4 8GB 256GB SSD 14""FHD 1 YEAR",ASUS,55500,,
114,490911548,"Asus Vivobook R1502VA i7 13620H 13th Gen | 16GB RAM | 1TB NVMe SSD |15.6"" FHD | Backlit Keyboard | Quiet Blue",No Brand,110999,,
115,511642996,"HP EliteBook 655 G10 | Ryzen 5 Pro 7530U | 32GB RAM | 1TB SSD | 15.6"" Laptop",,113850,,
116,510632789,Dell Inspiron 14 Copilot+ Laptop | Snapdragon X Plus | 16GB RAM | 1TB SSD | 14″ WUXGA IPS | Backlit Keyboard,Dell,116819,,
117,477936385,"Lenovo V15 G4 - 13th Gen, Intel Core i7 13620H, 15.6"" FHD, 16GB DDR4 RAM, 512GB NVMe SSD, Iron Grey, 1 Year Warranty - Nagmani International",Lenovo,123900,,
118,186867964,Dell Latitude 3450 | 13th Gen i7-1355U | 8Gb | 512 SSD | Win11 Pro License | 3yrs warranty,No Brand,135400,,
119,499896381,Dell Pro 14 PC14250 Core 5 120U 14th Gen | 8 GB RAM | 512 GB SSD | 14 ” FHD | 3 Years Warranty,No Brand,95030,,
120,510634614,"Lenovo LOQ 15 Gaming Laptop | Ryzen 5 7235HS | RTX 4050 6GB  | 16GB RAM | 512GB SSD | 15.6"" FHD 144Hz",Lenovo,122760,,
121,477915798,"Lenovo V14 G4 - 13th Gen, Intel Core i7 1355U, 14"" FHD, 16GB DDR4 RAM, 512GB NVMe SSD, 45WHr Battery, 1 Year Warranty - Nagmani International",Lenovo,118900,,
122,510222055,"Lenovo LOQ 15IAX9E 2025 (Intel Core i5 12450HX Processor | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics | 15.6"" FHD (1920 x 1080) 144Hz 100% sRGB IPS Display | 1 Year Warranty)",Lenovo,115000,,
123,511652850,"Lenovo IdeaPad 1i 83B40006US | Intel Core i5-1335U | 8GB RAM | 256GB SSD | 15.6"" FHD Laptop",Lenovo,69300,,
124,499254330,"Lenovo ThinkCentre Neo 50t Gen 5 – Intel Core i5-14400, 8GB RAM, 512GB SSD, WiFi 6 + Bluetooth 5.1, Slim DVD ROM, Card Reader, USB Keyboard & Mouse, Free DOS, 18.5'' Monitor, 3 Year Warranty - Nagmani International",Lenovo,106900,,
125,479740836,"Lenovo Thinkpad  Yoga L13 (2-in-1) Gen 5 - Core Ultra 7 155U, 13.3"" WUXGA Multi-Touch 360° display - 100% sRGB, 16GB, 1TB Gen4 NVMe SSD, Stylus, Fingerprint, Windows 11 Professional, Backlit KB,  3 Years Warranty  - Nagmani International Pvt.Ltd",Lenovo,255900,,
126,136402282,"Dell Vostro 15 3520 Core i7 - 1255U 12th Gen/ 8 GB RAM/ 512GB SSD/15.6"" FHD/Win 11",No Brand,97010,,
127,510318812,Dell Latitude 5350 Core Ultra 7 165U| 16GB RAM | 512GB SSD |13.3″FHD | Backlit Keyboard | Win11 |1 Years Warranty,No Brand,162990,,
128,510196973,HP Victus 15 | Gaming laptop | Core i5-13420H | 16 GB RAM | 512 GB SSD | 15.6″ FHD 144Hz Display | NVIDIA RTX 4050 6GB | Backlit Keyboard | 1 Year Warranty,,128000,,
129,511936182,"LENOVO IDEAPAD 1 RYZEN 5 8GB RAM 256GB SSD 15.6"" DISPLAY 1 YEAR WARRENTY",Lenovo,65499,,
130,413515938,ASUS TUF Gaming A15 FA506NC - 7TH | RYZEN 5 7535HS | 8GB | 512 GB G4 NVMe SSD | 15.6 FHD IPS 144 Hz | RTX 3050 4G | BACKLIT KB | Genuine Windows 11 | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International,ASUS,120900,,
131,508292566,"AVITA Laptop LIBER E 14"" INCH AMD R5 5500U 8GB RAM, 256GB SSD",No Brand,65000,,
132,459042820,Asus VivoBook 14 X1405VA -13th Gen Intel Core i5 13420H | 8GB | 512GB SSD | 14'' WUXGA | Win11 | Backlit Keyboard | Fingerprint | Bag | Mouse | Cool Silver | 2 Year Int'l Warranty | 1 year Perfect Warranty - Nagmani International,ASUS,97900,,
133,146756,Dell Inspiron 3467/ i5/ 7th Gen/ 4GB/ 1TB/ 2GB Graphics/14 Notebook - Black,Dell,70000,,
134,278349183,ASUS ZENBOOK 14 OLED - UX3405CA - 15 Gen Intel Core Ultra 7 255H | 16 GB RAM | 1TB SSD PCIe Gen 4 | 14 inch 3k Oled Touchscreen | Genuine Win 11 | Ponder Blue | NUMPAD | 2 Year Int'l Warranty | 1 Year Perfect Warranty - NAGMANI NTERNATIONAL,ASUS,223900,,
135,511935180,"HPR74050 HP Victus 15 Ryzen 7 7445HS 16GB DDR5 512GB SSD 15.6"" FHD 144Hz RTX4050 6GB Backlit Keyboard Win 11 Home 1 Year Warranty",,116900,,
136,412068412,"Asus Vivobook S 14 OLED - S5406MA - Intel Core Ultra 7 155H Processor | 16GB | 1TB Gen 4 SSD | 14"" 3K OLED 120Hz | RGB Keyboard | Type-C | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International",ASUS,195900,,
137,493074990,ASUS ZENBOOK 14 OLED - UM3406KA - AMD AI RYZEN 7 350 | 16 GB RAM | 1TB SSD PCIe Gen 4 | 14 inch 3K OLED | Genuine Win 11 | JADE BLACK | NUMPAD | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani International,ASUS,184900,,
138,413138326,ASUS VIVOBOOK FLIP S14 TP3402VA -13TH GEN | i7 13700H | 16 GB RAM | 1 TB NVMe SSD |14 WUXGA IPS TOUCH 360 | BACKLIT KB | Fingerprint | Genuine Win 11 | Silver Color | Backpack & mouse | 2 Year Int'l Warranty | 1 Year Perfect Warranty - Nagmani Internation,ASUS,152900,,
139,511448059,Acer Nitro V16 AMD Ryzen 5 240 | 16GB RAM |512GB SSD |16″ FHD 180Hz | Backlit Keyboard | RTX 5050 8GB | Win11 |1 Years Warranty,No Brand,141990,,
140,129859375,"Microsoft Surface Laptop 4 Core i7-1185G7 /8GB RAM/ 512GB SSD / 15"" (2496x1664) Touch /Backlit Keyboard/ Win 11 Pro",No Brand,178190,,
141,150138678,"ASUS Vivobook X1404VA | Intel Core 7 150U processor| 16GB RAM | 1TB SSD | 14"" FHD (1920 x 1080) display | WIN 11| Cool Silver| Backlit Keyboard | Backpack| Mouse | 2 yrs Warranty -NAGMANI INTERNATIONAL",ASUS,144900,,
142,185154894,"Lenovo ThinkPad T14 Gen 5, Intel Core Ultra 7-155U | 16 GB DDR5 | 512 GB SSD | 14"" WUXGA (1920x1200) IPS, Touch-Screen | Intel® AI Boost | Backlit Keyboard | Win 11",No Brand,239084,,
